Model,#States,OVI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_67,10012,152,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_68,10012,128,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_69,10012,126,38
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_7,10012,115,38
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_70,10012,125,38
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_71,10012,223,27
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_72,10012,140,39
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_73,10012,128,20
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_74,10012,130,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_75,10012,115,33
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_76,10012,132,38
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_77,10012,118,24
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_78,10012,129,34
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_79,10012,114,29
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_8,10012,75,23
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_80,10012,124,11
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_81,10012,125,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_82,10012,114,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_83,10012,107,39
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_84,10012,134,41
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_85,10012,112,20
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_86,10012,127,21
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_87,10012,127,30
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_88,10012,114,21
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_89,10012,139,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_9,10012,113,21
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_90,10012,124,29
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_91,10012,127,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_92,10012,149,40
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_93,10012,240,22
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_94,10012,123,29
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_95,10012,119,15
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_96,10012,217,39
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_97,10012,248,38
