Model,#States,OVI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_89,10012,0.4214897677651387,0.4214893608273367
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_9,10012,0.02354807919534202,0.02354793625400404
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_90,10012,0.021814568684809407,0.021814201730066707
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_91,10012,0.4263973861108765,0.42639694505716136
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_92,10012,0.455850939041361,0.4558504665587891
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_93,10012,0.03303142880946249,0.033031127678596686
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_94,10012,0.038913284217317545,0.03891293680752157
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_95,10012,0.012784688744329722,0.012784483008798992
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_96,10012,0.4837691583357735,0.48376875323449237
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_97,10012,0.4948403590539541,0.4948399527012478
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_98,10012,0.4916578646170912,0.4916573556642146
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_99,10012,0.41916645074367354,0.41916592238269546
