Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,VI,WP_P3
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_134,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_135,10000,0.008689782987566777,0.008689782987566777,0.008689785103176598,0.008689785186367208,0.008689785186447507,0.008689785177484817,0.008689785299153572,,0.008689785167706085,0.008689762587786828,0.00868978518639502,0.008689785186447514,0.008689785186143382,,0.008689785044280599,0.008689618766651407
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_136,10000,0.2936745306229713,0.2936745306229713,0.29367453215945133,0.29367453668384697,0.29367453668385324,0.2936745366838366,0.29367453671153715,,0.2936745366836258,0.2936745364530017,0.2936745366837721,0.2936745366838454,0.2936745366838493,,0.29367453663474924,0.293674151798955
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_137,10000,0.0016727609422565505,0.0016727609422565505,0.0016727609422565505,0.0016727609422565286,0.0016727609422565127,0.0016727609422565505,0.0016727609427992232,,0.00167275988696951,,0.0016727609422565505,0.001672760942256501,0.001672760942256542,,0.001672760942142349,0.0016727591859977482
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_138,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_139,10000,0.016475457948079822,0.016475457948079822,0.0164754592281919,0.016475461131747964,0.01647546113174736,0.01647546113174801,0.01647546114024412,,0.016475461129543286,0.016475457515474683,0.01647546113112605,0.016475461131747342,0.016475461228324495,,0.016475460348449315,0.0164751259984317
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_140,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_141,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_142,10000,0.02627215455481427,0.02627215455481427,0.02627215449548319,0.02627215458788795,0.026272154587887894,0.02627215458785708,0.026272154614931938,,0.026272154587871646,0.02627215033352136,0.026272154587886728,0.026272154587887894,0.026272154587852217,,0.026272154432445273,0.0262720537908373
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_143,10000,0.07144614828457393,0.07144614828457393,0.07144615046817182,0.07144615441982659,0.0714461544199612,0.07144615441988161,0.0714461555472942,,0.07144615441996208,0.07144615168398474,0.07144615441911017,0.07144615441996129,0.07144615441970166,,0.07144615363229359,0.07144553956892097
