Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian
simple_actionTree_sinkP_1_initP_1_branch_200_numStates_400_numComp_5, 2004, 400004, 1, 2, 2001, 200, 4, -0.010049751243781158, 400001, 0, , , , , 6, 400, 1, 333.5, , , , 
simple_actionTree_sinkP_1_initP_1_branch_2_numStates_400_numComp_1, 404, 804, 1, 2, 401, 2, 4, 0.0, 801, 0, , , , , 2, 400, 1, 200.5, , , , 
simple_actionTree_sinkP_1_initP_1_branch_2_numStates_400_numComp_20, 8004, 16004, 1, 2, 8001, 2, 4, 0.0, 16001, 0, , , , , 21, 400, 1, 381.0, , , , 
simple_actionTree_sinkP_1_initP_1_branch_2_numStates_400_numComp_5, 2004, 4004, 1, 2, 2001, 2, 4, 0.0, 4001, 0, , , , , 6, 400, 1, 333.5, , , , 
simple_actionTree_sinkP_1_initP_1_branch_30_numStates_400_numComp_1, 404, 12004, 1, 2, 401, 30, 4, 0.0, 12001, 0, , , , , 2, 400, 1, 200.5, , , , 
simple_actionTree_sinkP_1_initP_1_branch_30_numStates_400_numComp_20, 8004, 240004, 1, 2, 8001, 30, 4, 0.0, 240001, 0, , , , , 21, 400, 1, 381.0, , , , 
simple_actionTree_sinkP_1_initP_1_branch_30_numStates_400_numComp_5, 2004, 60004, 1, 2, 2001, 30, 4, 0.0, 60001, 0, , , , , 6, 400, 1, 333.5, , , , 
simple_actionTree_sinkP_1_initP_1_branch_50_numStates_400_numComp_1, 404, 20004, 1, 2, 401, 50, 4, 0.0, 20001, 0, , , , , 2, 400, 1, 200.5, , , , 
simple_actionTree_sinkP_1_initP_1_branch_50_numStates_400_numComp_20, 8004, 400004, 1, 2, 8001, 50, 4, 0.0, 400001, 0, , , , , 21, 400, 1, 381.0, , , , 
simple_actionTree_sinkP_1_initP_1_branch_50_numStates_400_numComp_5, 2004, 100004, 1, 2, 2001, 50, 4, 0.0, 100001, 0, , , , , 6, 400, 1, 333.5, , , , 
simple_actionTree_sinkP_1_initP_1_branch_5_numStates_400_numComp_1, 404, 2004, 1, 2, 401, 5, 4, 0.0, 2001, 0, , , , , 2, 400, 1, 200.5, , , , 
simple_actionTree_sinkP_1_initP_1_branch_5_numStates_400_numComp_20, 8004, 40004, 1, 2, 8001, 5, 4, 0.0, 40001, 0, , , , , 21, 400, 1, 381.0, , , , 
simple_actionTree_sinkP_1_initP_1_branch_5_numStates_400_numComp_5, 2004, 10004, 1, 2, 2001, 5, 4, 0.0, 10001, 0, , , , , 6, 400, 1, 333.5, , , , 
simple_actionTree_sinkP_1_initP_1_branch_70_numStates_400_numComp_1, 404, 28004, 1, 2, 401, 70, 4, 0.0, 28001, 0, , , , , 2, 400, 1, 200.5, , , , 
simple_actionTree_sinkP_1_initP_1_branch_70_numStates_400_numComp_20, 8004, 560004, 1, 2, 8001, 70, 4, 0.0, 560001, 0, , , , , 21, 400, 1, 381.0, , , , 
simple_actionTree_sinkP_1_initP_1_branch_70_numStates_400_numComp_5, 2004, 140004, 1, 2, 2001, 70, 4, 0.0, 140001, 0, , , , , 6, 400, 1, 333.5, , , , 
