Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,GSVI_1,GSVI_100,OVI_100,QP_G,QP_G_T,QP_G_T_W,QP_G_W,SVI_1,SVI_100,TBVI_100,TGBVI_100,TGSVI_1,TGSVI_100,TOVI_100,TOVI_100_opt,TSVI_1,TSVI_100
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_1,10002,4.936,,,,3.439,2.777,,,2.307,2.189,,3.028,2.55,17.229,16.749,,,14.124,17.175,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_10,10002,4.849,,,,2.481,2.322,,,1.389,1.581,,2.412,1.961,16.529,16.372,,,14.548,13.973,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_11,10002,5.467,,,,5.518,4.658,,,1.95,1.968,,5.735,4.397,16.426,18.91,,,15.051,15.314,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_12,10002,4.536,,,,2.591,1.807,,,1.467,1.56,,2.308,1.747,16.547,19.397,,,,,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_13,10002,5.504,,,,6.408,4.462,,,2.05,2.053,,6.394,4.714,18.72,18.764,,,15.755,15.277,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_14,10002,5.038,,,,2.631,1.743,,,1.63,1.501,,2.617,1.936,18.65,17.686,,,14.931,14.188,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_15,10002,,,,,2.819,2.336,,,1.849,2.365,,2.912,1.989,17.896,16.431,,,16.036,16.007,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_16,10002,5.346,,,,3.039,2.349,,,1.806,1.958,,3.264,2.468,17.661,16.431,,,15.443,16.379,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_17,10002,5.227,,,,3.198,3.724,,,1.538,1.815,,3.256,3.138,16.236,15.35,,,15.343,14.81,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_18,10002,5.317,,,,2.124,1.543,,,1.665,1.577,,2.466,1.704,15.209,15.633,,,14.476,15.028,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_19,10002,5.318,,,,3.09,2.141,,,1.81,1.877,,2.987,2.177,16.494,13.87,,,15.544,14.791,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_2,10002,5.158,,,,2.475,1.716,,,1.632,1.688,,2.088,1.778,16.364,14.861,,,13.856,16.232,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_20,10002,5.503,,,,3.086,3.537,,,1.687,1.57,,3.048,3.66,17.55,13.834,,,15.175,16.386,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_3,10002,,,,,5.043,5.447,,,1.677,1.737,,4.224,4.738,18.736,16.45,,,14.984,14.925,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_4,10002,,,,,2.729,2.164,,,1.606,1.573,,2.497,1.728,17.263,14.418,,,13.053,14.465,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_5,10002,5.563,,,,2.642,1.818,,,1.561,1.824,,2.358,1.83,15.205,15.248,,,14.018,13.268,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_6,10002,5.496,,,,2.46,1.818,,,1.583,1.585,,2.264,2.169,16.402,15.961,,,14.525,12.339,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_7,10002,5.024,,,,2.524,1.728,,,1.69,2.008,,2.424,1.809,15.946,16.25,,,14.935,14.073,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_8,10002,5.569,,,,4.378,4.297,,,2.1,2.072,,3.923,4.5,17.295,16.049,,,17.335,15.2,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_9,10002,5.008,,,,4.864,3.182,,,1.41,1.732,,5.235,3.95,16.899,14.637,,,16.305,14.204,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_1,10002,5.058,,,,5.471,4.288,,,2.0,1.886,,5.174,4.024,19.063,14.642,,,15.314,12.184,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_10,10002,4.736,,,,4.045,3.92,,,1.773,1.622,,4.002,4.365,18.023,14.596,,,15.984,15.452,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_11,10002,6.895,,,,3.93,4.038,,,2.053,2.092,,3.776,6.02,18.475,16.052,,,17.124,15.772,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_12,10002,4.684,,,,2.958,1.715,,,1.72,1.809,,2.555,2.176,16.686,16.005,,,16.196,13.836,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_13,10002,,,,,2.898,1.718,,,1.574,1.685,,2.472,1.752,16.999,14.067,,,14.353,13.146,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_14,10002,5.146,,,,2.836,2.15,,,1.967,1.695,,2.688,2.212,17.328,14.191,,,14.453,15.501,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_15,10002,4.685,,,,4.157,4.248,,,1.539,1.715,,4.072,4.103,16.197,15.12,,,15.598,14.694,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_16,10002,5.259,,,,6.934,4.635,,,1.816,1.758,,8.872,4.186,17.922,14.463,,,12.959,13.626,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_17,10002,5.143,,,,4.044,4.194,,,2.393,2.037,,3.679,4.673,18.329,15.835,,,15.062,15.407,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_18,10002,6.208,,,,5.457,4.756,,,1.864,1.87,,5.057,4.187,18.843,17.2,,,15.333,15.142,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_19,10002,5.292,,,,6.339,4.249,,,1.855,2.047,,6.589,4.32,19.649,16.116,,,15.439,14.957,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_2,10002,,,,,3.982,4.137,,,1.896,1.651,,4.552,4.13,19.942,14.667,,,15.067,14.61,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_20,10002,,,,,2.912,1.81,,,1.535,1.414,,2.644,1.737,17.381,14.023,,,15.079,13.362,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_3,10002,,,,,4.025,4.242,,,1.56,1.617,,3.944,3.757,17.132,14.278,,,14.099,12.333,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_4,10002,,,,,4.159,4.262,,,1.446,1.688,,4.366,4.175,16.0,14.908,,,13.225,14.132,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_5,10002,,,,,2.65,1.835,,,1.58,1.616,,2.257,1.617,15.499,16.27,,,14.247,14.477,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_6,10002,6.044,,,,3.927,4.145,,,1.758,1.843,,4.422,4.643,15.107,14.603,,,13.693,14.418,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_7,10002,,,,,4.097,4.687,,,1.656,1.38,,3.56,3.678,16.296,16.292,,,,,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_8,10002,,,,,3.367,3.737,,,2.038,1.646,,4.323,4.405,16.415,14.909,,,13.711,13.928,,
RANDOM_Size_10002_MinAct_50_Type-tree_MinTransProb_0.1_Model_9,10002,,,,,6.072,4.514,,,1.9,1.882,,5.556,4.446,17.343,15.469,,,14.569,14.896,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_1,10002,5.305,3.244,,,6.665,5.088,,,1.966,2.303,,6.241,4.624,16.526,12.7,,,12.881,12.28,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_10,10002,5.724,,,2.389,2.395,1.892,3.108,,1.589,2.118,,2.36,1.71,16.734,12.738,,,12.623,11.647,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_11,10002,,,,,3.703,3.906,,,1.747,1.882,,4.014,3.673,15.11,15.134,,,,,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_12,10002,5.14,,,,2.715,1.984,,,1.996,1.697,,2.693,1.738,13.721,15.442,,,11.898,13.546,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_13,10002,5.856,,,,2.662,1.91,,,1.833,2.094,,2.403,1.909,17.051,14.155,,,12.45,12.249,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_14,10002,7.018,,3.846,,5.709,4.619,,,2.125,2.782,,6.262,4.173,17.297,15.408,,,11.48,10.67,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_15,10002,5.046,,,,3.964,4.167,,,2.093,2.247,,3.776,3.874,16.534,12.615,,,12.369,12.321,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_16,10002,5.465,,,2.176,2.402,1.906,,,1.936,1.995,,2.213,1.702,15.572,13.352,,,13.705,11.739,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_17,10002,5.781,3.516,,,5.448,4.35,,,2.458,2.146,,5.92,4.288,13.141,11.633,,,12.141,11.474,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_18,10002,5.132,,,,4.563,4.983,,,1.907,1.88,,4.853,3.582,17.492,13.606,,,13.279,10.408,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_19,10002,4.964,3.007,,,4.378,4.516,4.888,,2.063,1.952,,5.371,3.689,18.105,11.643,,,13.791,11.492,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_2,10002,4.764,,,,3.841,4.018,2.879,,1.735,1.739,,5.284,3.764,17.793,11.66,,,13.048,10.386,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_20,10002,5.29,,,2.688,4.102,4.43,,,1.581,1.623,,4.228,3.945,20.095,11.978,,,11.468,11.043,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_3,10002,5.447,,,,4.243,3.87,,,1.887,1.841,,5.606,3.933,17.706,13.581,,,11.341,11.467,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_4,10002,5.271,,,,3.533,3.757,,,1.913,1.907,,3.827,3.856,15.24,13.562,,,,,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_5,10002,5.193,,,,4.093,4.634,3.077,,1.999,1.913,,4.052,4.218,14.372,13.279,,,,,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_6,10002,5.549,,3.213,,4.033,4.789,,,2.159,2.011,,3.783,4.589,15.128,12.791,,,11.635,11.765,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_7,10002,,4.162,,,4.566,4.54,,,1.871,1.972,,5.316,4.169,17.598,12.945,,,12.993,10.859,,
