Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,GSVI_1,GSVI_100,OVI_100,QP_G,QP_G_T,QP_G_T_W,QP_G_W,SVI_1,SVI_100,TBVI_100,TGBVI_100,TGSVI_1,TGSVI_100,TOVI_100,TOVI_100_opt,TSVI_1,TSVI_100
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_12,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_13,10002,0.0,,,,0.009999839119994953,0.009999839119994953,,,0.010000000000000002,0.010000000000000002,,0.009999845868730971,0.009999845868730971,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_14,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_15,10002,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_16,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_17,10002,0.0,,,,0.25320000000000004,0.25320000000000004,,,0.25320000000000004,0.25320000000000004,,0.25320000000000004,0.25320000000000004,0.25320000000000004,0.25320000000000004,,,0.25320000000000004,0.25320000000000004,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_18,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_19,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_2,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_20,10002,0.0,,,,0.811,0.811,,,1.0,1.0,,0.811,0.811,0.811,0.811,,,0.811,0.811,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_3,10002,,,,,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_4,10002,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_5,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_6,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_7,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_8,10002,0.0,,,,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_9,10002,0.0,,,,0.010000000000000002,0.010000000000000002,,,0.602,0.602,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
