Model,#States,BVI
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_38,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_39,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_4,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_40,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_41,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_42,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_43,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_44,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_45,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_46,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_47,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_48,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_49,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_5,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_50,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_51,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_52,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_53,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_54,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_55,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_56,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_57,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_58,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_59,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_6,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_60,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_61,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_62,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_63,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_64,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_65,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_66,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_67,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_68,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_69,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_7,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_70,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_71,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_72,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_73,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_74,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_75,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_76,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_77,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_78,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_79,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_8,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_80,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_81,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_82,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_83,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_84,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_85,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_86,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_87,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_88,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_89,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_9,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_90,10002,2.694
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_91,10002,2.289
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_92,10002,2.104
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_93,10002,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_94,10002,2.331
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_95,10002,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_96,10002,3.289
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_97,10002,3.209
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_98,10002,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_99,10002,
