Model,#States,BVI
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_61,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_62,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_63,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_64,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_65,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_66,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_67,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_68,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_69,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_7,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_70,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_71,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_72,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_73,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_74,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_75,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_76,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_77,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_78,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_79,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_8,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_80,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_81,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_82,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_83,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_84,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_85,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_86,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_87,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_88,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_89,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_9,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_90,10002,1
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_91,10002,1
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_92,10002,1
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_93,10002,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_94,10002,1
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_95,10002,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_96,10002,1
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_97,10002,1
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_98,10002,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_99,10002,
