Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_69, 10002, 68509, 1, 3301, 6700, 80, 5, 1.0E-4, 50474, 6.84953, 15.485603, 2.260827, 4969, 5033, 0.1569144, 3, 421, 1, 141.66666666666666, 3.0, 1062, 8941, 1, 9.418079096045197, 3, 1, 8941, 8941.0, 4, 4, 4.0, 4.0, 0.266, 0.32, 0.15, 0.063
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_7, 10002, 68657, 1, 3390, 6611, 88, 5, 1.0E-4, 50740, 6.864327, 15.515297, 2.2602794, 5061, 4941, 0.15745825, 2, 428, 3, 215.5, 215.5, 1131, 8872, 1, 8.843501326259947, 3, 1, 8872, 8872.0, 2147483637, 0, NaN, 0.0, 0.247, 0.319, 0.173, 0.087
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_70, 10002, 68435, 1, 3214, 6787, 85, 5, 1.0E-4, 50568, 6.8421316, 15.494501, 2.2645721, 4969, 5033, 0.15832774, 1, 601, 601, 601.0, 601.0, 1034, 8969, 1, 9.67311411992263, 3, 1, 8969, 8969.0, 2147483637, 0, NaN, 0.0, 0.24, 0.287, 0.149, 0.147
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_71, 10002, 68466, 1, 3588, 6413, 83, 5, 1.0E-4, 50436, 6.845231, 15.452809, 2.2574563, 4915, 5087, 0.15548109, 1, 329, 329, 329.0, 329.0, 1133, 8870, 1, 8.827890556045896, 3, 1, 8870, 8870.0, 4, 4, 4.0, 4.0, 0.292, 0.383, 0.11, 0.08
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_72, 10002, 68502, 1, 3348, 6653, 87, 5, 1.0E-4, 50577, 6.84883, 15.479104, 2.2601092, 4958, 5044, 0.1554624, 1, 726, 726, 726.0, 726.0, 1123, 8880, 1, 8.906500445235976, 3, 1, 8880, 8880.0, 2147483637, 0, NaN, 0.0, 0.239, 0.299, 0.127, 0.088
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_73, 10002, 68650, 1, 3329, 6672, 82, 5, 1.0E-4, 50552, 6.8636274, 15.505999, 2.259155, 5037, 4965, 0.15635982, 2, 504, 1, 252.5, 252.5, 1163, 8840, 1, 8.600171969045572, 3, 1, 8840, 8840.0, 2147483637, 0, NaN, 0.0, 0.259, 0.327, 0.14, 0.051
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_74, 10002, 68212, 1, 3208, 6793, 97, 5, 1.0E-4, 50561, 6.819836, 15.44871, 2.2652612, 4998, 5004, 0.15568413, 2, 238, 3, 120.5, 120.5, 1074, 8929, 1, 9.312849162011172, 3, 1, 8929, 8929.0, 2147483637, 0, NaN, 0.0, 0.246, 0.298, 0.16, 0.077
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_75, 10002, 68414, 1, 3312, 6689, 81, 5, 1.0E-4, 50664, 6.840032, 15.476005, 2.2625632, 5061, 4941, 0.1568179, 1, 559, 559, 559.0, 559.0, 1107, 8896, 1, 9.035230352303524, 3, 1, 8896, 8896.0, 2147483637, 0, NaN, 0.0, 0.249, 0.325, 0.135, 0.076
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_76, 10002, 68193, 1, 3174, 6827, 82, 5, 1.0E-4, 50406, 6.8179364, 15.436213, 2.2640593, 5068, 4934, 0.15571949, 2, 502, 1, 251.5, 251.5, 1098, 8905, 1, 9.109289617486338, 3, 1, 8905, 8905.0, 2147483637, 0, NaN, 0.0, 0.245, 0.329, 0.138, 0.048
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_77, 10002, 68413, 1, 3261, 6740, 86, 5, 1.0E-4, 50599, 6.839932, 15.477904, 2.2628741, 5020, 4982, 0.15544862, 2, 529, 1, 265.0, 265.0, 1095, 8908, 1, 9.134246575342466, 3, 1, 8908, 8908.0, 2147483637, 0, NaN, 0.0, 0.244, 0.347, 0.137, 0.064
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_78, 10002, 68476, 1, 3361, 6640, 86, 5, 1.0E-4, 50711, 6.846231, 15.504199, 2.264633, 4862, 5140, 0.15625544, 2, 519, 2, 260.5, 260.5, 1077, 8926, 1, 9.286908077994429, 3, 1, 8926, 8926.0, 2147483637, 0, NaN, 0.0, 0.292, 0.382, 0.134, 0.076
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_79, 10002, 68614, 1, 3218, 6783, 81, 5, 1.0E-4, 50742, 6.860028, 15.536093, 2.2647274, 5051, 4951, 0.15648167, 2, 417, 1, 209.0, 209.0, 1103, 8900, 1, 9.067996373526745, 3, 1, 8900, 8900.0, 2147483637, 0, NaN, 0.0, 0.417, 0.411, 0.13, 0.051
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_8, 10002, 68427, 1, 3318, 6683, 77, 5, 1.0E-4, 50463, 6.841332, 15.4278145, 2.2550893, 5087, 4915, 0.15348424, 1, 652, 652, 652.0, 652.0, 1129, 8874, 1, 8.859167404782994, 3, 1, 8874, 8874.0, 2147483637, 0, NaN, 0.0, 0.265, 0.346, 0.268, 0.188
