Model,#States,BVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,OPT_OVI,OVI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_OVI,T_SI_SI,T_SVI,VI,WP
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_3,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_4,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_5,1002,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8999999999999992,0.8999999999999992,0.0,0.8999999999999992,0.9,0.9,0.9,0.9,0.9,0.9
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_6,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_7,1002,0.9,0.9,0.648,0.9,0.9,0.648,0.9,0.9,0.648,0.9000000000000035,0.9000000000000035,0.0,0.9000000000000035,0.9,0.9,0.9,0.9,0.9,0.9
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_8,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_9,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Model_1,1002,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,0.9000000000000001,0.0,0.8999999999999998,0.9,0.9,0.9,,0.9,0.9
RANDOM_Size_1002_MinAct_5_Model_10,1002,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8999999999999979,0.8999999999999979,0.0,0.8999999999999979,0.9,0.9,0.9,0.9,0.9,0.9
RANDOM_Size_1002_MinAct_5_Model_11,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Model_12,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Model_13,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Model_14,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Model_15,1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Model_16,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Model_17,1002,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8999999999999998,0.8999999999999998,0.0,0.8999999999999998,0.9,0.9,0.9,0.9,0.9,0.9
RANDOM_Size_1002_MinAct_5_Model_18,1002,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8999999999999977,0.8999999999999977,0.0,0.8999999999999977,0.9,0.9,0.9,0.9,0.9,0.9
RANDOM_Size_1002_MinAct_5_Model_19,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Model_2,1002,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8999999999999954,0.8999999999999954,0.0,0.8999999999999954,0.9,0.9,0.9,0.9,0.9,0.9
