Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,VI,WP_P3
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_42,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_43,10000,0.9007162281974607,0.9007162281974607,0.9007162281974607,0.900716228197461,0.9007162281974596,0.900716228197461,0.9007162297759268,,0.9007162281974579,0.9007162281974607,0.9007162281974596,0.9007162281973113,,0.9007162259023972,0.9007152561048501
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_44,10000,0.9901053222405616,0.9901053222614815,0.9901053222613379,0.9901053221959086,0.9901053222614813,0.9901053221896506,,,0.9901053222614791,0.9901053222614662,0.9901053222614813,0.9901053222475936,,0.9901053205611404,0.9901043749339696
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_45,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_46,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_47,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_48,10000,0.9109638539822692,0.9109639583532028,0.9109639559489142,0.9109639581178337,0.9109639583530176,0.9109639577840984,,,0.9109639583531633,0.9109639560457593,0.9109639583530176,0.9109639507260292,,0.9109626788978481,0.9109629737877202
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_49,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_5,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_50,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_51,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_52,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_53,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_54,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_55,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_56,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_57,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_58,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_59,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_6,10000,0.7488332995325339,0.7488332995325339,0.7488332995325339,0.7488332994825764,0.7488332995324442,0.7488332995325339,,,0.7488332995323959,0.7488332995325339,0.7488332995324442,0.7488332986613478,,0.7488328631402946,0.7488329221065914
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_60,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_61,10000,,,0.8024775409694616,0.8024774071254691,0.8024775409691673,0.8024773251970899,,,,,0.8024775409691673,0.802477495778592,,0.8024379784109854,0.8024765449089878
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_62,10000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_63,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_64,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_65,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_66,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_67,10000,0.9690661087896183,0.9690661088155342,0.9690661088154308,0.9690661088140082,0.9690661088155302,0.9690661088154482,,,0.9690661088154988,0.9690661088155335,0.9690661088155302,0.9690661088113341,,0.9690661056609389,0.9690654750974483
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_68,10000,0.615131434456964,,0.615131434456964,0.615131434251583,0.6151314344569634,0.6151314321480117,,,0.6151314344569665,0.615131434456964,0.6151314344569634,0.6151314328133245,,0.6151307846000916,0.6151304500515995
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_69,10000,0.822599012521545,,0.822599012521545,0.8225990113904781,0.8225990125215332,0.8225990125215383,,,0.8225990125215286,0.822599012521545,0.8225990125215332,0.8225990125215422,,0.822599012520781,0.822598066649247
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_7,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_70,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_71,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_72,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_73,10000,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74,10000,0.8786763507601817,0.8786772979705304,0.8786763759917988,0.8786771736602439,0.8786772979703777,0.8786769058589892,,,0.8786772979704549,0.8786767179773433,0.8786772979703777,0.8786771184994167,,0.8786258856695744,0.8786763054616377
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_75,10000,0.9236671629793778,0.9236671943737866,0.923667156390128,0.9236671943737873,0.9236671943737399,0.9236671917668049,,,0.9236671943739243,0.9236671881874061,0.9236671943737399,0.9236671671245791,,0.9236587838349906,0.9236662153295272
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_76,10000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_77,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_78,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_79,10000,0.330267771504999,,0.330267771504999,0.33026777140122604,0.3302677715049961,0.3302677715031117,,,0.3302677715049963,0.330267771504999,0.3302677715049961,0.3302680327353096,,0.3302676589945097,0.33026679243937507
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_8,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_80,10000,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_81,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_82,10000,0.687376110665035,,0.687376110665035,0.6873759000621262,0.6873761106642859,0.6873760970588031,,,0.6873761106651043,0.687376110665035,0.6873761106642859,0.6873760065220702,,0.6873437661716738,0.6873751109342534
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_83,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_84,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_85,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_86,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_87,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_88,10000,0.85846823779095,,0.85846823779095,0.8584682374591378,0.8584682377911736,0.8584682326994036,,,0.8584682377909425,0.85846823779095,0.8584682377911736,0.8584682358104777,,0.8584665914979608,0.8584672687829964
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89,10000,0.9534033871905766,0.9534042145526942,0.953403651130354,0.9534041877608033,0.9534042145515504,0.9534040035612383,,,0.9534042145526458,0.9534037436846569,0.9534042145515504,0.953404050467421,,0.953361964168678,0.9534032161759894
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_9,10000,0.7782987815807851,,0.7782987815807851,0.7782985333280616,0.778298781580753,0.7782987815807851,,,0.7782987815807383,0.7782987815807851,0.778298781580753,0.7782986515950203,,0.7782735932745595,0.7782977908487706
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_90,10000,0.9337,,0.9337,0.9337,0.9337,0.9337,0.9337,,0.9337000000000351,0.9337,0.9337,0.9337,,0.9337,0.9337
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_91,10000,0.9873355917404835,0.9873356422767807,0.9873356377897176,0.9873356422731406,0.9873356422767535,0.9873356411660177,,,0.9873356422767621,0.987335623327027,0.9873356422767535,0.9873355872977672,,0.987324532523085,0.9873346644891885
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_92,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_93,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_94,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_95,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_96,10000,0.8559410162356205,,0.8559410162356205,0.8559410162356205,0.8559410162355111,0.8559410162356205,,,0.8559410162356204,0.8559410162356205,0.8559410162355111,0.8559410162356205,,0.8559410162356205,0.8559408395637926
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_97,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_98,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_99,10000,0.7348181489790676,,0.7348181489790676,0.7348181487615834,0.7348181489791117,0.7348181489790582,,,0.7348181489790657,0.7348181489790676,0.7348181489791117,0.7348177261505081,,0.7348168658725609,0.7348171616640925
