Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_18, 10000, 56017, 645, 9311, 44, 17, 6, 0.0069, 5602, 5.6017, 6.1677, 1.1010407, 5077, 4923, 0.086758435, 0, , , , , 123, 1981, 1, 81.30081300813008, 5, 7, 436, 1412.0, 2147483637, 0, NaN, 0.0, 0.168, 0.471, 0.016, 0.039
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_19, 10000, 56515, 240, 9722, 38, 17, 5, 0.0018, 5710, 5.6515, 6.2268, 1.101796, 4942, 5058, 0.085822575, 0, , , , , 118, 1712, 1, 84.7457627118644, 7, 9, 267, 1099.0, 2147483637, 0, NaN, 0.0, 0.154, 0.385, 0.015, 0.03
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_2, 10000, 56314, 191, 9792, 17, 19, 5, 0.003, 5597, 5.6314, 6.1963, 1.1003126, 5023, 4977, 0.08551878, 2, 1, 1, 1.0, 1.0, 80, 1950, 1, 125.0, 5, 14, 46, 709.5714285714286, 2147483637, 0, NaN, 0.0, 0.125, 0.53, 0.017, 0.032
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_20, 10000, 56478, 4, 9438, 558, 17, 6, 0.0092, 5705, 5.6478, 6.2239, 1.1020043, 5011, 4989, 0.08687479, 11, 476, 1, 44.18181818181818, 1.0, 95, 1964, 1, 105.26315789473684, 5, 9, 200, 1101.5555555555557, 2147483637, 0, NaN, 0.0, 0.134, 0.254, 0.04, 0.066
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_21, 10000, 55869, 778, 9162, 60, 16, 5, 0.0011, 5533, 5.5869, 6.1453, 1.099948, 4990, 5010, 0.08780694, 2, 1, 1, 1.0, 1.0, 104, 1861, 1, 96.15384615384616, 5, 15, 14, 660.7333333333333, 2147483637, 0, NaN, 0.0, 0.197, 0.488, 0.016, 0.035
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_22, 10000, 56590, 1440, 8409, 151, 21, 6, 0.006, 5634, 5.659, 6.2261, 1.1002121, 4998, 5002, 0.08395304, 14, 1, 1, 1.0, 1.0, 78, 1946, 1, 128.2051282051282, 7, 12, 16, 827.8333333333334, 2147483637, 0, NaN, 0.0, 0.178, 0.759, 0.039, 0.028
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_23, 10000, 55862, 511, 9434, 55, 17, 6, 0.0028, 5634, 5.5862, 6.1543, 1.1016971, 4961, 5039, 0.086882345, 3, 1, 1, 1.0, 1.0, 91, 1737, 1, 109.89010989010988, 6, 11, 113, 901.8181818181819, 2147483637, 0, NaN, 0.0, 0.104, 0.44, 0.017, 0.032
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_24, 10000, 55804, 7, 9983, 10, 16, 5, 0.009, 5543, 5.5804, 6.1382, 1.099957, 5050, 4950, 0.08585579, 1, 9, 9, 9.0, 9.0, 93, 1670, 1, 107.52688172043011, 5, 14, 2, 708.6428571428571, 2147483637, 0, NaN, 0.0, 0.051, 0.101, 0.012, 0.031
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_25, 10000, 56351, 340, 9627, 33, 17, 6, 0.0011, 5654, 5.6351, 6.2056, 1.1012404, 4954, 5046, 0.0853745, 0, , , , , 104, 1840, 1, 96.15384615384616, 6, 9, 733, 1100.5555555555557, 2147483637, 0, NaN, 0.0, 0.088, 0.292, 0.014, 0.029
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_26, 10000, 56040, 160, 9833, 7, 17, 6, 0.0104, 5582, 5.604, 6.1679, 1.1006246, 4972, 5028, 0.08643136, 0, , , , , 78, 1571, 1, 128.2051282051282, 5, 12, 314, 827.8333333333334, 2147483637, 0, NaN, 0.0, 0.09, 0.297, 0.012, 0.045
