Model,#States,BVI
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_57,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_58,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_59,8132,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_6,8519,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_60,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_61,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_62,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_63,1541,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_64,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_65,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_66,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_67,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_68,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_69,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_7,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_70,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_71,9373,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_72,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_73,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_74,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_75,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_76,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_77,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_78,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_79,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_8,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_80,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_81,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_82,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_83,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_84,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_85,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_86,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_87,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_88,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_89,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_9,8314,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_90,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_91,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_92,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_93,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_94,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_95,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_96,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_97,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_98,10000,1
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_99,10000,1
