Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_11,1002,,,133,24,138,,,,48,32,359,336,428,428
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_12,1002,,,134,26,107,,,,38,26,311,293,359,359
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_13,1002,,,128,22,38,,,,30,22,340,326,375,375
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_14,1002,,,133,25,135,,,,47,33,315,295,383,383
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_15,1002,,,130,23,107,,,,39,27,334,318,394,394
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_16,1002,,,128,21,41,,,,32,23,317,304,317,317
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_17,1002,,,130,23,91,,,,33,25,317,305,314,314
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_18,1002,,,137,28,122,,,,44,30,331,310,399,399
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_19,1002,,,134,24,402,,,,120,27,450,314,678,678
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_2,1002,,,174,54,277,,,,75,55,393,359,561,561
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_20,1002,,,152,36,133,,,,60,41,358,327,406,406
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_21,1002,,,135,27,118,,,,41,29,325,306,383,383
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_22,1002,,,130,23,116,,,,42,29,317,298,373,373
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_23,1002,,,143,29,123,,,,48,32,336,309,393,393
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_24,1002,,,137,28,132,,,,43,30,319,299,374,374
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_25,1002,,,165,54,157,,,,65,52,366,343,422,422
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_26,1002,,,131,24,102,,,,37,27,324,310,378,378
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_27,1002,,,130,22,103,,,,37,26,299,283,304,304
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_28,1002,,,135,28,112,,,,45,37,354,340,392,392
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_29,1002,,,123,18,89,,,,31,22,313,299,360,360
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_3,1002,,,123,21,33,,,,27,20,304,295,301,301
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_30,1002,,,131,25,113,,,,42,34,346,333,411,411
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_4,1002,,,143,32,135,,,,50,34,327,301,390,390
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_5,1002,,,146,35,147,,,,48,36,323,304,387,387
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_6,1002,,,121,16,88,,,,31,22,333,321,379,379
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_7,1002,,,122,18,82,,,,35,30,332,324,363,363
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_8,1002,,,149,36,122,,,,47,34,315,295,360,360
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_9,1002,,,161,47,170,,,,68,49,363,332,427,427
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_1,102,,,114,10,17,,,,13,9,62,55,58,58
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_10,102,,,115,10,18,,,,15,10,59,50,55,55
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_11,102,,,114,10,15,,,,13,9,59,52,55,55
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_12,102,,,106,6,6,,,,5,4,58,56,57,57
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_13,102,,,116,10,23,,,,17,10,58,50,61,61
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_14,102,,,108,7,7,,,,5,5,60,58,57,57
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_15,102,,,107,6,8,,,,5,5,58,51,47,47
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_16,102,,,1,1,6,,,,4,4,49,46,47,47
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_17,102,,,1,1,8,,,,6,4,53,41,42,42
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_18,102,,,1,1,17,,,,12,7,59,56,64,64
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_19,102,,,1,1,7,,,,5,5,47,44,45,45
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_2,102,,,1,1,7,,,,5,4,58,52,52,52
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_20,102,,,1,1,19,,,,14,9,67,56,61,61
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_21,102,,,1,1,53,,,,25,12,68,50,85,85
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_22,102,,,1,1,7,,,,5,4,46,46,48,48
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_23,102,,,107,6,7,,,,4,4,63,57,51,51
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_24,102,,,108,6,6,,,,4,4,55,52,50,50
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_25,102,,,1,1,17,,,,13,5,61,51,62,62
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_26,102,,,111,9,19,,,,15,10,59,54,62,62
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_27,102,,,119,14,6,,,,4,4,56,50,41,41
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_28,102,,,1,1,15,,,,12,8,60,52,57,57
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_29,102,,,1,1,15,,,,12,5,77,62,58,58
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_3,102,,,1,1,7,,,,5,5,47,47,47,47
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_30,102,,,105,6,7,,,,5,4,44,44,45,45
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_4,102,,,1,1,14,,,,11,6,58,53,60,60
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_5,102,,,129,10,26,,,,23,5,80,53,67,67
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_6,102,,,108,7,6,,,,4,4,48,46,44,44
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_7,102,,,110,7,6,,,,4,4,54,50,47,47
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_8,102,,,120,11,28,,,,22,10,77,53,67,67
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_9,102,,,1,1,7,,,,5,4,52,51,51,51
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_1,102,,,1,1,6,,,,4,3,58,55,52,52
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_10,102,,,108,5,5,,,,4,4,60,54,55,55
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_11,102,,,1,1,4,,,,3,3,54,44,44,44
