Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_24,1002,,0.005,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,1.0,1.0,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_25,1002,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_26,1002,,0.0,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,1.0,1.0,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_27,1002,,0.0,0.01,0.01,0.01,,,0.604,0.604,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_28,1002,,0.006,0.10808000000000002,0.10808000000000002,0.10808000000000002,,,0.5,0.5,,0.10808000000000002,0.10808000000000002,0.10808000000000002,0.10808000000000002
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_29,1002,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_3,1002,,,0.06642000000000002,0.06642000000000002,0.06642000000000002,,,1.0,1.0,,0.06642000000000002,0.06642000000000002,0.06642000000000002,0.06642000000000002
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_30,1002,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_4,1002,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_5,1002,,0.009999999999999998,0.01,0.01,0.01,,0.009999999999997797,0.01,0.01,0.009999999999997797,0.01,0.01,,
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_6,1002,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_7,1002,,0.0,0.008,0.008,0.008,,,1.0,1.0,,0.008,0.008,0.008,0.008
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_8,1002,,0.0,0.005,0.005,0.005,,,1.0,1.0,,0.005,0.005,0.005,0.005
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_9,1002,,0.0,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,1.0,1.0,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_1,1002,,,0.006116709344579967,0.006116708314782569,0.00611670890169898,,,,,,0.006116709344595201,0.006116709344595201,0.006116709344595201,0.006116709344595201
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_10,1002,,,0.006963208383435539,0.006963199125856608,0.006963208330757004,,,,,,0.006963208383435532,0.006963208383435532,0.006963208383435532,0.006963208383435532
