Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_10, 1002, 2753, 1, 519, 482, 8, 6, 0.01, 1628, 422, 1, 1, 1.0, 1.0, 481, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_11, 1002, 2753, 1, 493, 508, 8, 7, 0.01, 1592, 440, 1, 1, 1.0, 1.0, 455, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_12, 1002, 2753, 1, 506, 495, 8, 7, 0.01, 1596, 427, 1, 1, 1.0, 1.0, 459, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_13, 1002, 2753, 1, 501, 500, 8, 8, 0.01, 1592, 431, 1, 1, 1.0, 1.0, 497, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_14, 1002, 2753, 1, 466, 535, 8, 7, 0.01, 1606, 461, 1, 1, 1.0, 1.0, 480, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_15, 1002, 2753, 1, 475, 526, 8, 6, 0.01, 1601, 448, 1, 1, 1.0, 1.0, 459, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_16, 1002, 2753, 1, 483, 518, 8, 7, 0.01, 1604, 445, 1, 1, 1.0, 1.0, 464, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_17, 1002, 2753, 1, 467, 534, 8, 7, 0.01, 1604, 454, 1, 1, 1.0, 1.0, 465, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_18, 1002, 2753, 1, 471, 530, 8, 7, 0.01, 1576, 450, 1, 1, 1.0, 1.0, 490, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_19, 1002, 2753, 1, 495, 506, 8, 7, 0.01, 1593, 446, 1, 1, 1.0, 1.0, 504, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_2, 1002, 2753, 1, 497, 504, 8, 7, 0.01, 1611, 428, 1, 1, 1.0, 1.0, 446, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_20, 1002, 2753, 1, 503, 498, 8, 7, 0.01, 1613, 438, 1, 1, 1.0, 1.0, 468, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_21, 1002, 2753, 1, 479, 522, 8, 7, 0.01, 1605, 441, 1, 1, 1.0, 1.0, 466, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_22, 1002, 2753, 1, 486, 515, 8, 8, 0.01, 1603, 447, 1, 1, 1.0, 1.0, 485, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_23, 1002, 2753, 1, 501, 500, 8, 7, 0.01, 1606, 418, 1, 1, 1.0, 1.0, 429, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_24, 1002, 2753, 1, 495, 506, 8, 7, 0.01, 1608, 430, 1, 1, 1.0, 1.0, 444, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_25, 1002, 2753, 1, 488, 513, 8, 7, 0.01, 1614, 443, 1, 1, 1.0, 1.0, 481, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_26, 1002, 2753, 1, 492, 509, 8, 7, 0.01, 1609, 444, 1, 1, 1.0, 1.0, 467, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_27, 1002, 2753, 1, 480, 521, 8, 7, 0.01, 1609, 449, 1, 1, 1.0, 1.0, 472, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_28, 1002, 2753, 1, 499, 502, 8, 7, 0.01, 1614, 436, 1, 1, 1.0, 1.0, 484, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_29, 1002, 2753, 1, 485, 516, 8, 8, 0.01, 1557, 443, 1, 1, 1.0, 1.0, 504, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_3, 1002, 2753, 1, 492, 509, 8, 6, 0.01, 1611, 439, 1, 1, 1.0, 1.0, 454, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_30, 1002, 2753, 1, 489, 512, 8, 6, 0.01, 1613, 446, 1, 1, 1.0, 1.0, 468, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_4, 1002, 2753, 1, 516, 485, 8, 7, 0.01, 1623, 418, 1, 1, 1.0, 1.0, 438, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_5, 1002, 2753, 1, 491, 510, 8, 7, 0.01, 1592, 439, 1, 1, 1.0, 1.0, 494, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_6, 1002, 2753, 1, 517, 484, 8, 6, 0.01, 1588, 413, 1, 1, 1.0, 1.0, 428, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_7, 1002, 2753, 1, 491, 510, 8, 7, 0.01, 1619, 438, 1, 1, 1.0, 1.0, 474, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_8, 1002, 2753, 1, 489, 512, 8, 7, 0.01, 1589, 437, 1, 1, 1.0, 1.0, 470, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_9, 1002, 2753, 1, 492, 509, 8, 7, 0.01, 1620, 444, 1, 1, 1.0, 1.0, 472, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_1, 1002, 2003, 1, 314, 687, 2, 7, 0.01, 1234, 244, 1, 1, 1.0, 1.0, 268, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_10, 1002, 2003, 1, 298, 703, 2, 7, 0.01, 1242, 252, 1, 1, 1.0, 1.0, 276, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_11, 1002, 2003, 1, 277, 724, 2, 6, 0.01, 1216, 267, 1, 1, 1.0, 1.0, 297, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_12, 1002, 2003, 1, 308, 693, 2, 7, 0.01, 1246, 237, 1, 1, 1.0, 1.0, 259, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_13, 1002, 2003, 1, 272, 729, 2, 7, 0.01, 1228, 272, 1, 1, 1.0, 1.0, 300, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_14, 1002, 2003, 1, 312, 689, 2, 8, 0.01, 1256, 226, 1, 1, 1.0, 1.0, 256, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_15, 1002, 2003, 1, 299, 702, 2, 7, 0.01, 1213, 255, 1, 1, 1.0, 1.0, 286, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_16, 1002, 2003, 1, 287, 714, 2, 7, 0.01, 1215, 256, 1, 1, 1.0, 1.0, 279, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_17, 1002, 2003, 1, 306, 695, 2, 7, 0.01, 1219, 244, 1, 1, 1.0, 1.0, 273, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_18, 1002, 2003, 1, 304, 697, 2, 8, 0.01, 1213, 252, 1, 1, 1.0, 1.0, 274, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_19, 1002, 2003, 1, 278, 723, 2, 7, 0.01, 1224, 264, 1, 1, 1.0, 1.0, 282, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_2, 1002, 2003, 1, 282, 719, 2, 7, 0.01, 1239, 261, 1, 1, 1.0, 1.0, 288, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_20, 1002, 2003, 1, 290, 711, 2, 7, 0.01, 1231, 257, 1, 1, 1.0, 1.0, 275, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_21, 1002, 2003, 1, 304, 697, 2, 7, 0.01, 1228, 252, 1, 1, 1.0, 1.0, 271, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_22, 1002, 2003, 1, 295, 706, 2, 6, 0.01, 1239, 242, 1, 1, 1.0, 1.0, 264, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_23, 1002, 2003, 1, 308, 693, 2, 7, 0.01, 1218, 245, 1, 1, 1.0, 1.0, 270, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_24, 1002, 2003, 1, 307, 694, 2, 7, 0.01, 1235, 242, 1, 1, 1.0, 1.0, 260, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_25, 1002, 2003, 1, 304, 697, 2, 7, 0.01, 1233, 250, 1, 1, 1.0, 1.0, 269, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_26, 1002, 2003, 1, 277, 724, 2, 7, 0.01, 1224, 257, 1, 1, 1.0, 1.0, 279, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_27, 1002, 2003, 1, 328, 673, 2, 8, 0.01, 1213, 232, 1, 1, 1.0, 1.0, 252, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_28, 1002, 2003, 1, 291, 710, 2, 7, 0.01, 1210, 257, 1, 1, 1.0, 1.0, 292, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_29, 1002, 2003, 1, 299, 702, 2, 7, 0.01, 1223, 247, 1, 1, 1.0, 1.0, 273, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_3, 1002, 2003, 1, 325, 676, 2, 6, 0.01, 1241, 230, 1, 1, 1.0, 1.0, 271, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_30, 1002, 2003, 1, 273, 728, 2, 7, 0.01, 1205, 267, 1, 1, 1.0, 1.0, 296, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_4, 1002, 2003, 1, 320, 681, 2, 7, 0.01, 1235, 232, 1, 1, 1.0, 1.0, 258, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_5, 1002, 2003, 1, 297, 704, 2, 6, 0.01, 1244, 245, 1, 1, 1.0, 1.0, 258, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_6, 1002, 2003, 1, 285, 716, 2, 6, 0.01, 1208, 257, 1, 1, 1.0, 1.0, 295, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_7, 1002, 2003, 1, 320, 681, 2, 6, 0.01, 1214, 234, 1, 1, 1.0, 1.0, 286, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_8, 1002, 2003, 1, 317, 684, 2, 6, 0.01, 1232, 238, 1, 1, 1.0, 1.0, 250, , , , 
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_9, 1002, 2003, 1, 296, 705, 2, 8, 0.01, 1226, 241, 1, 1, 1.0, 1.0, 267, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_1, 102, 263, 1, 44, 57, 5, 6, 0.01, 160, 42, 1, 1, 1.0, 1.0, 45, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_10, 102, 263, 1, 49, 52, 5, 6, 0.01, 157, 37, 1, 1, 1.0, 1.0, 40, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_11, 102, 263, 1, 50, 51, 5, 6, 0.01, 152, 38, 1, 1, 1.0, 1.0, 43, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_12, 102, 263, 1, 46, 55, 5, 5, 0.01, 160, 42, 1, 1, 1.0, 1.0, 54, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_13, 102, 263, 1, 48, 53, 5, 9, 0.01, 155, 37, 1, 1, 1.0, 1.0, 41, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_14, 102, 263, 1, 44, 57, 5, 6, 0.01, 153, 44, 1, 1, 1.0, 1.0, 53, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_15, 102, 263, 1, 45, 56, 5, 6, 0.01, 152, 40, 1, 1, 1.0, 1.0, 43, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_16, 102, 263, 1, 54, 47, 5, 5, 0.01, 155, 33, 1, 1, 1.0, 1.0, 42, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_17, 102, 263, 1, 51, 50, 5, 6, 0.01, 161, 35, 1, 1, 1.0, 1.0, 37, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_18, 102, 263, 1, 44, 57, 5, 6, 0.01, 154, 42, 1, 1, 1.0, 1.0, 50, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_19, 102, 263, 1, 55, 46, 5, 5, 0.01, 151, 37, 1, 1, 1.0, 1.0, 42, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_2, 102, 263, 1, 43, 58, 5, 5, 0.01, 154, 42, 1, 1, 1.0, 1.0, 48, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_20, 102, 263, 1, 48, 53, 5, 5, 0.01, 160, 41, 1, 1, 1.0, 1.0, 46, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_21, 102, 263, 1, 54, 47, 5, 5, 0.01, 155, 33, 1, 1, 1.0, 1.0, 40, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_22, 102, 263, 1, 55, 46, 5, 5, 0.01, 152, 35, 1, 1, 1.0, 1.0, 44, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_23, 102, 263, 1, 44, 57, 5, 6, 0.01, 156, 44, 1, 1, 1.0, 1.0, 48, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_24, 102, 263, 1, 47, 54, 5, 5, 0.01, 152, 40, 1, 1, 1.0, 1.0, 48, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_25, 102, 263, 1, 42, 59, 5, 5, 0.01, 153, 43, 1, 1, 1.0, 1.0, 48, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_26, 102, 263, 1, 51, 50, 5, 6, 0.01, 151, 39, 1, 1, 1.0, 1.0, 48, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_27, 102, 263, 1, 52, 49, 5, 5, 0.01, 155, 36, 1, 1, 1.0, 1.0, 38, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_28, 102, 263, 1, 51, 50, 5, 7, 0.01, 155, 39, 1, 1, 1.0, 1.0, 44, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_29, 102, 263, 1, 43, 58, 5, 6, 0.01, 149, 44, 1, 1, 1.0, 1.0, 46, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_3, 102, 263, 1, 54, 47, 5, 6, 0.01, 154, 36, 1, 1, 1.0, 1.0, 47, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_30, 102, 263, 1, 53, 48, 5, 5, 0.01, 150, 35, 1, 1, 1.0, 1.0, 41, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_4, 102, 263, 1, 43, 58, 5, 6, 0.01, 156, 45, 1, 1, 1.0, 1.0, 49, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_5, 102, 263, 1, 50, 51, 5, 6, 0.01, 154, 37, 1, 1, 1.0, 1.0, 45, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_6, 102, 263, 1, 49, 52, 5, 8, 0.01, 151, 36, 1, 1, 1.0, 1.0, 41, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_7, 102, 263, 1, 54, 47, 5, 6, 0.01, 153, 37, 1, 1, 1.0, 1.0, 45, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_8, 102, 263, 1, 45, 56, 5, 6, 0.01, 159, 40, 1, 1, 1.0, 1.0, 43, , , , 
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_9, 102, 263, 1, 49, 52, 5, 5, 0.01, 147, 39, 1, 1, 1.0, 1.0, 44, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_1, 102, 278, 1, 44, 57, 8, 6, 0.01, 166, 47, 1, 1, 1.0, 1.0, 49, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_10, 102, 278, 1, 47, 54, 8, 5, 0.01, 158, 45, 1, 1, 1.0, 1.0, 53, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_11, 102, 278, 1, 55, 46, 8, 7, 0.01, 159, 39, 1, 1, 1.0, 1.0, 42, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_12, 102, 278, 1, 52, 49, 8, 5, 0.01, 158, 40, 1, 1, 1.0, 1.0, 45, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_13, 102, 278, 1, 48, 53, 8, 6, 0.01, 162, 44, 1, 1, 1.0, 1.0, 51, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_14, 102, 278, 1, 48, 53, 8, 5, 0.01, 160, 42, 1, 1, 1.0, 1.0, 46, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_15, 102, 278, 1, 59, 42, 8, 6, 0.01, 173, 34, 1, 1, 1.0, 1.0, 36, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_16, 102, 278, 1, 49, 52, 8, 7, 0.01, 161, 44, 1, 1, 1.0, 1.0, 48, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_17, 102, 278, 1, 50, 51, 8, 5, 0.01, 164, 45, 1, 1, 1.0, 1.0, 51, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_18, 102, 278, 1, 57, 44, 8, 6, 0.01, 155, 38, 1, 1, 1.0, 1.0, 43, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_19, 102, 278, 1, 50, 51, 8, 5, 0.01, 157, 40, 1, 1, 1.0, 1.0, 44, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_2, 102, 278, 1, 41, 60, 8, 6, 0.01, 165, 49, 1, 1, 1.0, 1.0, 54, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_20, 102, 278, 1, 49, 52, 8, 5, 0.01, 169, 45, 1, 1, 1.0, 1.0, 52, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_21, 102, 278, 1, 54, 47, 8, 5, 0.01, 168, 40, 1, 1, 1.0, 1.0, 47, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_22, 102, 278, 1, 48, 53, 8, 4, 0.01, 162, 47, 1, 1, 1.0, 1.0, 51, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_23, 102, 278, 1, 50, 51, 8, 6, 0.01, 169, 42, 1, 1, 1.0, 1.0, 50, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_24, 102, 278, 1, 58, 43, 8, 6, 0.01, 165, 39, 1, 1, 1.0, 1.0, 43, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_25, 102, 278, 1, 51, 50, 8, 5, 0.01, 161, 39, 1, 1, 1.0, 1.0, 43, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_26, 102, 278, 1, 45, 56, 8, 5, 0.01, 154, 46, 1, 1, 1.0, 1.0, 49, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_27, 102, 278, 1, 54, 47, 8, 7, 0.01, 159, 39, 1, 1, 1.0, 1.0, 41, , , , 
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_28, 102, 278, 1, 59, 42, 8, 5, 0.01, 161, 36, 1, 1, 1.0, 1.0, 41, , , , 
