Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_21,102,,0.122,0.043,0.033,0.072,,0.23,0.114,0.075,0.153,0.564,0.673,0.652,0.613
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_22,102,,0.162,0.084,0.058,0.053,,0.311,0.281,0.075,0.165,0.849,1.229,0.688,0.458
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_23,102,,0.109,0.043,0.058,0.07,,,0.181,0.1,,0.506,0.835,0.323,0.711
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_24,102,,0.074,0.039,0.037,0.059,,0.295,0.103,0.09,0.187,0.314,0.326,0.581,0.481
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_25,102,,0.177,0.132,0.036,0.139,,0.205,0.261,0.217,0.117,0.701,0.89,0.44,0.364
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_26,102,,0.179,0.044,0.029,0.09,,,0.134,0.123,,0.525,0.47,0.757,0.744
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_27,102,,0.092,0.108,0.04,0.052,,,0.183,0.145,,0.522,0.61,0.315,0.53
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_28,102,,0.084,0.034,0.05,0.09,,0.186,0.164,0.102,0.156,0.239,0.672,0.629,0.293
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_29,102,,0.156,0.118,0.041,0.109,,,0.173,0.143,,0.568,1.184,0.711,0.611
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_3,102,,0.171,0.094,0.035,0.067,,,0.234,0.084,,0.803,0.233,0.678,0.448
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_30,102,,0.103,0.038,0.08,0.076,,0.223,0.154,0.044,0.082,0.943,0.859,0.713,0.323
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_4,102,,0.164,0.077,0.068,0.092,,0.159,0.206,0.067,0.117,1.049,0.283,0.727,0.649
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_5,102,,,0.17,0.077,0.072,,,0.23,0.07,,0.455,0.278,0.273,0.543
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_6,102,,0.195,0.138,0.042,0.036,,,0.197,0.072,,0.367,0.557,0.619,0.579
