Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,T_BVI,T_LP_SI,T_OVI,VI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_77,8554,53,1800,53,41,,41,,,1228,1163,,623,36,35
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_78,9193,75,4300,65,32,,39,,,1084,1098,,704,29,19
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_79,9117,1,1,1,10,,28,,,1373,1334,,745,23,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_8,9825,1,1,1,20,,24,,,2355,2362,,810,21,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_80,9593,1777,,1777,14,,15,,,3722,3724,,818,8,5
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_81,10796,144,2600,134,291,,303,,,1374,1396,,1065,147,144
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_82,9734,1,1,1,13,,78,,,1835,1835,,797,25,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_83,9797,124,11701,124,16,,18,,,1380,,,869,10,5
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_84,9347,443,35902,442,36,,479,,,2224,1949,,751,45,5
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_85,7843,1,1,1,18,,19,,,3730,3359,,690,11,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_86,9533,158,3200,138,430,,325,,,1277,1303,,977,167,158
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_87,9372,132,9900,131,21,,24,,,1399,1264,,805,9,7
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_88,10723,1,1,1,18,,19,,,1853,1845,,912,10,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_89,8386,371,21800,374,17,,31,,,1743,1688,,689,27,5
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_9,6916,1,1,1,13,,13,,,1235,1336,,560,8,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_90,11076,1,1,1,15,,16,,,2175,2176,,941,9,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_91,10884,1,1,1,12,,16,,,1579,1513,,848,12,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_92,8663,106,5700,85,13,,13,,,1208,,,718,8,5
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_93,9226,157,6100,141,16,,16,,,1622,1559,,916,9,5
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_94,9242,280,27701,280,12,,13,,,1825,1762,,720,9,5
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_95,10610,1,1,1,16,,18,,,1617,1485,,848,8,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_96,9655,1,1,1,43,,47,,,1210,1241,,861,32,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_97,10944,,,,16,,28,,,32968,32415,,862,22,10
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_98,10763,84,5000,65,499,,523,,,1561,1613,,866,75,5
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_99,9433,156,11600,152,19,,18,,,1421,1418,,738,8,7
