Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_3, 8909, 55499, 1, 4407, 4501, 18, 6, 3.0E-4, 11744, 6.229543, 7.5522504, 1.2123282, 4839, 4070, 0.06530625, 116, 812, 1, 30.982758620689655, 1.0, 902, 1916, 1, 9.876940133037694, 4, 6, 2, 1335.5, 2, 2, 2.0, 2.0, 0.068, 0.093, 0.24, 0.056
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_30, 10933, 68350, 1, 5386, 5546, 19, 6, 8.0E-4, 14663, 6.251715, 7.599378, 1.215567, 6007, 4926, 0.065415725, 171, 787, 1, 25.432748538011698, 1.0, 1046, 1841, 1, 10.452198852772467, 4, 8, 2, 1236.875, 2147483637, 0, NaN, 0.0, 0.086, 0.111, 0.39, 0.078
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_31, 9375, 58779, 1, 4585, 4789, 17, 6, 0.0054, 12666, 6.26976, 7.6272, 1.2165059, 4985, 4390, 0.06729599, 146, 800, 1, 26.253424657534246, 1.0, 722, 1976, 1, 12.984764542936288, 4, 7, 2, 1237.142857142857, 2147483637, 0, NaN, 0.0, 0.104, 0.154, 0.306, 0.057
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_32, 10865, 67661, 1, 5351, 5513, 18, 5, 0.0034, 14594, 6.2274275, 7.575886, 1.2165353, 5866, 4999, 0.065810576, 154, 832, 1, 28.928571428571427, 1.0, 972, 1955, 1, 11.177983539094651, 4, 8, 2, 1237.625, 2147483637, 0, NaN, 0.0, 0.076, 0.103, 0.247, 0.039
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_33, 11020, 68631, 1, 5545, 5474, 19, 6, 0.0022, 14516, 6.2278585, 7.552541, 1.2127028, 6038, 4982, 0.064821154, 178, 771, 1, 24.084269662921347, 1.0, 1119, 1923, 1, 9.848078641644324, 4, 9, 2, 1101.111111111111, 2147483637, 0, NaN, 0.0, 0.093, 0.115, 0.422, 0.058
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_34, 8832, 54924, 1, 4398, 4433, 18, 5, 0.0012, 11658, 6.21875, 7.5435915, 1.2130399, 4739, 4093, 0.06532083, 145, 821, 1, 24.089655172413792, 1.0, 760, 1982, 1, 11.621052631578948, 4, 7, 2, 1154.142857142857, 2147483637, 0, NaN, 0.0, 0.072, 0.093, 0.281, 0.036
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_35, 9243, 57765, 1, 4508, 4734, 20, 6, 0.0015, 12264, 6.249594, 7.581521, 1.2131221, 5046, 4197, 0.06462983, 138, 775, 1, 27.92753623188406, 1.0, 834, 1840, 1, 11.082733812949641, 4, 7, 2, 1202.2857142857142, 2147483637, 0, NaN, 0.0, 0.078, 0.102, 0.252, 0.038
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_36, 8894, 54641, 1, 4616, 4277, 19, 6, 0.0031, 11530, 6.14358, 7.4443445, 1.2117275, 4794, 4100, 0.06456728, 112, 794, 1, 30.116071428571427, 1.0, 944, 1969, 1, 9.421610169491526, 4, 6, 2, 1326.0, 2147483637, 0, NaN, 0.0, 0.062, 0.087, 0.196, 0.053
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_37, 9928, 61078, 1, 5074, 4853, 18, 5, 0.01, 12990, 6.1520953, 7.46394, 1.2132355, 5454, 4474, 0.06361502, 120, 592, 1, 33.21666666666667, 1.0, 1084, 1424, 1, 9.158671586715867, 4, 9, 2, 983.6666666666666, 2, 2, 2.0, 2.0, 0.115, 0.142, 0.336, 0.072
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_38, 10784, 68245, 1, 5368, 5415, 18, 5, 2.0E-4, 14485, 6.3283567, 7.6760015, 1.2129533, 5732, 5052, 0.06428036, 159, 820, 1, 26.742138364779873, 1.0, 902, 1886, 1, 11.955654101995565, 4, 8, 2, 1236.25, 3, 3, 3.0, 3.0, 0.096, 0.145, 0.398, 0.077
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_39, 9816, 61038, 1, 4928, 4887, 18, 5, 0.0029, 13118, 6.218215, 7.5587816, 1.215587, 5270, 4546, 0.065029584, 128, 724, 1, 30.109375, 1.0, 896, 1638, 1, 10.955357142857142, 4, 8, 2, 1116.0, 2147483637, 0, NaN, 0.0, 0.088, 0.103, 0.297, 0.037
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_4, 9344, 58011, 1, 4714, 4629, 19, 5, 0.0028, 12209, 6.208369, 7.5191565, 1.2111324, 5114, 4230, 0.065557435, 134, 629, 1, 27.365671641791046, 1.0, 951, 1505, 1, 9.825446898002102, 4, 7, 2, 1200.0, 2147483637, 0, NaN, 0.0, 0.062, 0.083, 0.285, 0.071
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_40, 9499, 59159, 1, 4587, 4911, 18, 5, 0.0038, 12762, 6.2279186, 7.5749025, 1.2162815, 5149, 4350, 0.0660144, 123, 856, 1, 32.26829268292683, 1.0, 846, 1841, 1, 11.228132387706856, 4, 7, 2, 1237.142857142857, 2147483637, 0, NaN, 0.0, 0.081, 0.103, 0.269, 0.071
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_41, 9341, 57511, 1, 4705, 4635, 19, 5, 0.004, 12142, 6.1568356, 7.4610853, 1.2118378, 5096, 4245, 0.06571584, 158, 806, 1, 22.810126582278482, 1.0, 916, 1929, 1, 10.197598253275109, 4, 7, 2, 1204.5714285714287, 2147483637, 0, NaN, 0.0, 0.103, 0.135, 0.424, 0.082
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_42, 11066, 68339, 1, 5617, 5448, 18, 5, 1.0E-4, 14711, 6.175583, 7.50994, 1.2160699, 6034, 5032, 0.06571205, 146, 786, 1, 29.164383561643834, 1.0, 1151, 1918, 1, 9.61424847958297, 4, 8, 2, 1240.375, 2147483637, 0, NaN, 0.0, 0.086, 0.112, 0.337, 0.106
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_43, 10982, 68371, 1, 5628, 5353, 19, 5, 0.002, 14532, 6.225733, 7.5526314, 1.2131313, 5946, 5036, 0.064465955, 128, 748, 1, 32.8359375, 1.0, 1100, 1887, 1, 9.983636363636364, 4, 10, 2, 989.2, 2147483637, 0, NaN, 0.0, 0.104, 0.15, 0.261, 0.041
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_44, 10942, 67854, 1, 5519, 5422, 19, 6, 0.0019, 14551, 6.201243, 7.5351853, 1.2151089, 5942, 5000, 0.064778656, 156, 690, 1, 27.192307692307693, 1.0, 1084, 1709, 1, 10.09409594095941, 4, 8, 2, 1233.25, 2147483637, 0, NaN, 0.0, 0.1, 0.127, 0.68, 0.121
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_45, 9379, 58236, 1, 4678, 4700, 19, 5, 0.0045, 12506, 6.209191, 7.5462203, 1.2153307, 5023, 4356, 0.06673166, 141, 830, 1, 26.49645390070922, 1.0, 792, 1949, 1, 11.842171717171718, 3, 7, 2, 1227.7142857142858, 3, 3, 3.0, 3.0, 0.087, 0.09, 0.295, 0.108
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_46, 9656, 59479, 1, 4719, 4936, 18, 5, 0.0049, 12898, 6.159797, 7.500207, 1.2176062, 5242, 4414, 0.06786612, 138, 878, 1, 28.695652173913043, 1.0, 902, 1945, 1, 10.70509977827051, 4, 7, 2, 1251.5714285714287, 2, 2, 2.0, 2.0, 0.124, 0.189, 0.518, 0.071
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_47, 10838, 68201, 1, 5397, 5440, 20, 5, 9.0E-4, 14645, 6.292766, 7.6481824, 1.2153927, 5813, 5025, 0.06504928, 152, 718, 1, 27.710526315789473, 1.0, 944, 1718, 1, 11.48093220338983, 4, 8, 2, 1237.75, 3, 3, 3.0, 3.0, 0.091, 0.12, 0.433, 0.094
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_48, 10481, 65426, 1, 5321, 5159, 19, 5, 0.0024, 13962, 6.2423434, 7.5782847, 1.2140127, 5648, 4833, 0.065279245, 162, 753, 1, 25.21604938271605, 1.0, 980, 1759, 1, 10.694897959183674, 4, 8, 2, 1188.625, 2147483637, 0, NaN, 0.0, 0.092, 0.138, 0.618, 0.08
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_49, 9718, 60185, 1, 4907, 4810, 19, 5, 0.0026, 12731, 6.1931467, 7.5075116, 1.212229, 5270, 4448, 0.06551715, 138, 782, 1, 27.391304347826086, 1.0, 938, 1882, 1, 10.360341151385928, 4, 7, 2, 1255.2857142857142, 2147483637, 0, NaN, 0.0, 0.078, 0.125, 0.399, 0.072
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_5, 9726, 60186, 1, 4821, 4904, 19, 7, 0.0019, 12890, 6.1881557, 7.5184045, 1.2149669, 5335, 4391, 0.066831686, 131, 789, 1, 30.30534351145038, 1.0, 918, 1881, 1, 10.594771241830065, 4, 8, 2, 1102.0, 2147483637, 0, NaN, 0.0, 0.079, 0.099, 0.295, 0.052
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_50, 11016, 68321, 1, 5512, 5503, 20, 5, 2.0E-4, 14639, 6.201979, 7.535766, 1.2150583, 6060, 4956, 0.065061316, 145, 804, 1, 30.2, 1.0, 1083, 1850, 1, 10.171745152354571, 4, 8, 2, 1242.625, 7, 7, 7.0, 7.0, 0.106, 0.127, 0.299, 0.078
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_51, 9508, 59233, 1, 4740, 4767, 18, 5, 0.01, 12818, 6.2298064, 7.581195, 1.216923, 5060, 4448, 0.06582781, 139, 800, 1, 27.302158273381295, 1.0, 761, 1852, 1, 12.494086727989487, 4, 7, 2, 1250.5714285714287, 2, 2, 2.0, 2.0, 0.071, 0.097, 0.294, 0.038
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_52, 9333, 58066, 1, 4617, 4715, 18, 5, 0.0027, 12390, 6.2215796, 7.553627, 1.2141012, 5032, 4301, 0.06471106, 131, 781, 1, 29.045801526717558, 1.0, 869, 1830, 1, 10.739930955120828, 4, 7, 2, 1210.142857142857, 5, 5, 5.0, 5.0, 0.078, 0.098, 0.277, 0.044
