Conf,Model,Verification Time,Number Of Verif. Phases,Iterations in Verif Phase,NumAborted,NumInduceLowerBound,NumFailedVerif
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_18,6,2,33,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_19,1,1,12,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_2,0,1,2,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_20,16,3,20,2,2,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_21,1,1,11,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_22,12,2,9,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_23,1,1,9,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_24,1,1,6,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_25,1,1,11,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_26,0,1,4,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_27,1,1,6,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_28,6,2,3,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_29,12,2,5,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_3,0,1,5,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_30,1,1,7,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_31,1,1,5,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_32,0,1,6,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_33,14,2,6,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_34,1,1,6,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_35,1,1,6,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_36,0,1,8,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_37,5,2,3,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_38,1,1,3,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_39,1,1,6,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_4,1,1,11,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_40,7,2,4,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_41,1,1,7,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_42,1,1,4,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_43,1,1,4,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_44,6,2,5,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_45,0,1,5,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_46,1,1,4,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_47,1,1,6,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_48,1,1,2,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_49,1,1,10,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_5,26,3,11,2,2,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_50,1,1,9,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_51,1,1,9,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_52,5,2,2,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_53,1,1,6,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_54,2,1,7,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_55,1,1,4,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_56,1,1,9,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_57,1,1,11,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_58,2,1,19,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_59,1,1,13,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_6,1,1,8,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_60,7,2,2,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_61,1,1,5,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_62,0,1,5,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_63,199,2,695,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_64,0,1,5,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_65,0,1,4,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_66,6,2,10,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_67,1,1,13,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_68,1,1,6,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_69,7,2,17,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_7,6,2,6,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_70,0,1,5,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_71,1,1,10,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_72,7,2,30,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_73,19,4,5,3,3,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_74,18,4,10,3,3,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_75,1,1,6,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_76,1,1,9,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_77,0,1,5,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_78,1,1,10,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_79,1,1,5,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_8,1,1,3,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_80,1,1,7,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_81,7,2,8,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_82,2,1,53,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_83,1,1,8,0,0,0
