Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,T_BVI,T_LP_SI,T_OVI,VI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_50,11016,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.4500000000000573,0.45,0.45,0.0,0.45,0.45
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_51,9508,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.4499999999996619,0.45,0.45,0.45,0.45,0.45
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_52,9333,0.009999389648437499,0.009999999999999998,0.009999389648437499,0.0099999954632473,0.01,0.0099999954632473,0.01,0.01,0.009999999999999995,0.00999999985098839,0.01,0.0,0.009999980926513673,0.009999389648437499
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_53,9485,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8999999999998363,0.9,0.9,0.005,0.9,0.9
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_54,10993,0.9,0.9000000000000002,0.9,0.9000000000000001,0.9,0.9000000000000001,0.9,0.9,0.8999999999988454,0.9000000000000002,0.9,0.005,0.9000000000000001,0.9
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_55,10834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_56,10704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_57,9857,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.01,0.01,0.01,0.01,0.010000000000000073,0.010000000000000002,0.01,0.01,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_58,9583,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.900000000002076,0.9,0.9,0.005,0.9,0.9
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_59,9727,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.01,0.01,0.01,0.01,0.009999999999987862,,0.01,0.01,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_6,9532,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.010000000000000002,0.01,0.01,0.01,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_60,9775,0.5625000000000001,0.5625000000000001,0.5625000000000001,0.5625000000000002,0.5625,0.5625000000000002,0.5625,0.5625,0.5624999999143785,0.5625000000000001,0.5625,0.005,0.5625000000000001,0.5625
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_61,9727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_62,8744,0.009999694824218749,0.009999694824218749,0.01,0.01,0.01,0.009999980926513673,0.01,0.01,0.01,0.009999999999999998,0.01,0.0,0.009999990463256836,0.009999389648437499
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_63,11107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_64,6652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_65,9183,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.01,0.01,0.01,0.01,0.009999999999996666,0.010000000000000002,0.01,0.01,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_66,9833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_67,8437,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.01,0.01,0.01,0.01,0.009999999999995058,0.010000000000000002,0.01,0.01,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_68,9815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_69,9651,0.8999999999643113,0.8999999999999999,0.8999999999999921,0.8999994695186615,0.9,0.8999998664699442,0.8999999932944776,0.9,0.8999999999998575,0.8999999999999988,0.9,0.0025,0.8999988329410553,0.8999994152784347
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_7,9502,0.9,0.9,0.9,0.9,0.9,0.9000000000000004,0.9,0.9,0.8999999999936229,0.9,0.9,0.01,0.9,0.9
