Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,T_BVI,T_LP_SI,T_OVI,VI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_46,9656,9.699,210.624,11.402,1.363,0.748,1.414,0.623,1.111,11.214,7.905,0.569,1.065,0.912,0.412
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_47,10838,6.43,97.793,6.315,1.214,0.629,1.044,0.549,1.043,13.055,4.682,0.525,0.959,0.469,0.345
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_48,10481,0.718,0.726,0.72,1.198,0.772,1.001,0.592,1.063,8.686,6.511,0.516,0.882,0.53,0.23
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_49,9718,0.723,0.631,0.774,1.264,0.985,1.288,0.615,1.002,10.627,7.419,0.489,0.779,0.435,0.182
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_5,9726,0.592,0.635,0.616,23.136,1.403,26.695,2.225,1.881,8.56,,1.126,0.772,1.249,0.19
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_50,11016,4.758,85.431,4.561,1.529,2.137,1.731,2.335,3.378,7.054,5.152,1.054,0.997,0.719,0.575
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_51,9508,5.713,60.357,6.385,1.325,1.456,1.699,1.231,2.101,6.747,4.537,0.911,1.078,0.542,0.369
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_52,9333,3.357,22.838,2.965,5.375,0.62,5.436,0.487,1.058,7.881,4.707,0.492,0.694,0.761,0.77
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_53,9485,2.73,36.188,2.176,1.156,1.274,1.104,1.322,2.366,37.64,36.638,0.751,0.654,0.58,0.365
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_54,10993,2.347,26.248,2.281,1.129,1.648,2.085,2.041,2.819,5.324,4.261,0.971,0.933,0.656,0.477
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_55,10834,0.789,0.651,0.74,0.987,1.111,1.425,0.595,0.962,9.007,6.657,0.511,0.839,0.476,0.237
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_56,10704,0.675,0.549,0.75,1.466,0.725,1.347,0.568,1.05,21.488,21.186,0.502,0.875,0.539,0.23
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_57,9857,40.523,383.14,40.347,1.446,0.582,1.513,0.463,0.831,13.546,11.431,0.5,1.04,0.429,0.297
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_58,9583,3.156,36.982,3.536,1.869,1.36,2.03,1.249,1.871,4.893,4.191,1.145,0.918,0.681,0.465
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_59,9727,6.889,80.459,6.604,1.6,0.773,1.398,0.576,1.058,6.011,,0.464,0.788,0.469,0.262
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_6,9532,5.293,55.262,4.115,1.167,0.633,1.34,0.643,0.864,6.415,4.762,0.72,0.733,0.509,0.232
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_60,9775,4.098,55.474,3.915,8.017,1.499,7.352,1.418,2.266,6.264,4.329,0.923,1.026,1.251,0.556
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_61,9727,0.58,0.522,0.698,1.077,0.575,1.102,0.525,0.922,6.639,4.909,0.406,0.712,0.659,0.153
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_62,8744,1.691,0.624,1.221,0.978,0.7,0.872,0.497,0.958,6.533,4.636,0.572,0.559,0.55,0.413
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_63,11107,0.96,0.649,0.962,180.556,0.723,199.167,0.781,1.112,52.601,,0.553,1.075,0.994,0.207
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_64,6652,0.536,0.427,0.595,0.823,0.464,0.884,0.404,0.778,4.255,3.492,0.381,0.659,0.437,0.131
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_65,9183,18.653,209.926,14.946,1.106,0.638,0.917,0.505,0.976,10.536,7.674,0.554,0.869,0.496,0.236
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_66,9833,0.764,0.455,0.646,1.034,0.797,6.066,0.643,1.012,9.366,5.144,0.535,0.735,0.731,0.176
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_67,8437,4.705,67.157,3.725,1.433,0.672,1.209,0.533,1.027,5.086,4.279,0.478,0.695,0.549,0.231
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_68,9815,1.494,1.439,1.428,2.334,2.095,1.743,1.522,1.841,11.111,8.565,1.329,1.552,1.243,1.11
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_69,9651,4.613,53.648,5.635,1.803,1.294,7.306,1.331,1.781,6.886,3.985,0.806,1.044,0.878,1.002
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_7,9502,5.838,53.666,5.311,1.369,1.816,6.646,1.374,1.795,5.478,3.792,0.854,0.915,0.69,0.52
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_70,9703,0.617,0.555,0.677,1.022,0.706,0.959,0.491,1.062,8.617,5.258,0.478,0.783,0.572,0.223
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_71,8893,2.312,27.631,2.509,1.431,1.36,1.375,1.197,1.916,5.872,3.588,0.877,0.862,0.763,0.595
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_72,7808,0.668,0.422,0.7,6.071,0.652,7.598,0.674,0.774,7.921,4.939,0.436,0.576,0.631,0.204
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_73,9421,9.43,51.719,8.353,14.153,1.603,19.933,2.11,1.906,7.681,4.965,0.81,1.11,1.197,2.658
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_74,8964,0.707,0.459,0.57,17.285,1.799,18.109,1.595,2.464,7.229,4.971,0.939,1.341,1.024,0.2
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_75,7939,1.985,18.759,2.069,1.203,1.343,1.392,0.994,1.51,4.978,3.355,0.914,0.827,0.638,0.543
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_76,9635,0.608,0.47,0.6,1.217,1.844,1.22,1.477,2.226,9.46,6.392,1.09,0.633,0.964,0.194
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_77,8554,3.035,17.624,2.993,1.105,1.385,0.971,1.131,1.615,8.745,5.064,0.532,0.726,0.671,0.682
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_78,9193,4.445,47.789,3.924,1.354,1.542,1.324,1.285,1.778,5.747,3.802,0.789,0.853,0.647,0.54
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_79,9117,0.502,0.649,0.598,0.899,0.562,1.002,0.486,0.802,7.339,5.055,0.522,0.746,0.479,0.201
